state,industry,recent_3yr,count_2023,count_2025,growth_2023_2025_pct,lq,scale_pct,momentum_pct,specialisation_pct,hotspot_score
West Bengal,Textiles & Apparel,113,35,35,0.0,1.36,58.04,15.76,84.89,52.89666666666666
Delhi,Media & Entertainment,167,58,53,-4.41,1.26,69.29,9.65,79.58,52.839999999999996
Tamil Nadu,Retail,165,50,70,18.32,0.94,68.97,48.55,40.68,52.733333333333334
Jharkhand,IT Services,115,33,49,21.85,0.95,58.52,57.23,42.44,52.72999999999999
Delhi,IT Services,932,315,366,7.79,0.89,97.59,27.17,33.28,52.68
Delhi,Real Estate,123,34,49,20.05,0.97,60.21,53.22,44.53,52.653333333333336
Maharashtra,Security Solutions,182,53,78,21.31,0.86,72.03,55.79,29.42,52.41333333333333
Madhya Pradesh,Travel & Tourism,69,16,32,41.42,0.89,38.83,83.68,34.57,52.36
Uttar Pradesh,Architecture Interior Design,90,23,35,23.36,1.0,48.63,60.21,48.07,52.303333333333335
Rajasthan,Marketing,77,21,31,21.5,1.06,43.17,56.59,56.91,52.22333333333333
Telangana,Other Specialty Retailers,70,15,40,63.3,0.83,39.55,93.73,22.99,52.089999999999996
Uttar Pradesh,Agriculture,620,189,245,13.86,0.84,94.86,36.98,24.12,51.98666666666666
Tamil Nadu,Healthcare & Lifesciences,722,243,261,3.64,0.91,96.62,21.86,36.98,51.81999999999999
Telangana,Fashion,108,27,55,42.72,0.75,55.95,84.89,14.31,51.71666666666667
Haryana,Events,33,7,16,51.19,1.09,4.82,89.23,61.09,51.71333333333333
Uttar Pradesh,Pets & Animals,36,7,19,64.75,1.01,9.57,94.37,50.64,51.52666666666667
Uttar Pradesh,House-Hold Services,90,24,38,25.83,0.93,48.63,66.48,39.23,51.44666666666667
Tamil Nadu,Analytics,47,13,18,17.67,1.39,20.9,46.46,86.82,51.39333333333333
Haryana,Finance Technology,178,60,68,6.46,1.06,71.14,25.16,57.56,51.28666666666666
Gujarat,Travel & Tourism,154,37,64,31.52,0.73,66.56,74.28,13.02,51.28666666666666
Andhra Pradesh,Technology Hardware,72,18,38,45.3,0.86,40.59,85.53,27.49,51.20333333333333
Karnataka,Textiles & Apparel,156,38,68,33.77,0.68,67.52,78.14,7.56,51.07333333333332
Odisha,AI,54,6,33,134.52,0.85,28.05,99.52,25.4,50.989999999999995
Tamil Nadu,Food & Beverages,509,180,179,-0.28,0.97,92.93,14.63,45.18,50.91333333333333
Madhya Pradesh,Green Technology,68,17,33,39.33,0.88,38.02,82.48,31.99,50.83
Maharashtra,Human Resources,396,116,146,12.19,0.86,90.68,33.76,27.81,50.75
West Bengal,AI,83,8,54,159.81,0.66,45.42,99.84,6.43,50.56333333333333
Uttar Pradesh,Telecommunication & Networking,112,39,38,-1.29,1.28,57.56,13.83,80.06,50.483333333333334
Haryana,Technology Hardware,187,56,73,14.17,0.94,72.59,38.42,39.55,50.18666666666666
Maharashtra,Internet of Things,129,43,55,13.1,1.03,61.74,35.21,53.54,50.16333333333333
Gujarat,Non-Renewable Energy,105,46,28,-21.98,1.58,55.06,2.73,92.28,50.023333333333326
Karnataka,Human Resources,202,54,79,20.95,0.8,74.36,55.14,20.26,49.92
Uttar Pradesh,Retail,228,73,90,11.03,0.93,78.22,32.15,39.39,49.91999999999999
Uttar Pradesh,Social Impact,77,23,36,25.11,0.94,43.17,65.43,40.84,49.81333333333333
Delhi,Finance Technology,292,110,97,-6.09,1.06,83.84,8.36,57.07,49.75666666666666
Uttar Pradesh,Media & Entertainment,143,46,66,19.78,0.88,64.39,52.09,32.64,49.70666666666666
Andhra Pradesh,Renewable Energy,68,17,36,45.52,0.84,38.02,85.69,24.92,49.54333333333333
Gujarat,IT Services,935,287,359,11.84,0.77,97.75,33.6,16.4,49.25
Karnataka,Professional & Commercial Services,389,114,155,16.6,0.74,90.35,43.57,13.34,49.086666666666666
Jammu and Kashmir,IT Services,71,13,37,68.71,0.72,39.95,95.18,11.58,48.903333333333336
Bihar,Renewable Energy,69,13,41,77.59,0.71,38.83,96.3,11.09,48.73999999999999
Haryana,Marketing,109,34,36,2.9,1.16,56.35,19.21,70.1,48.55333333333333
Tamil Nadu,Textiles & Apparel,203,71,65,-4.32,1.09,74.68,9.81,60.93,48.47333333333333
Gujarat,Real Estate,103,26,49,37.28,0.7,54.02,81.03,9.49,48.18
Assam,Travel & Tourism,43,14,17,10.19,1.89,16.8,30.71,96.78,48.096666666666664
West Bengal,Other Specialty Retailers,54,16,23,19.9,1.11,28.05,52.49,63.34,47.959999999999994
Tamil Nadu,Architecture Interior Design,57,12,23,38.44,0.88,30.14,81.75,31.83,47.906666666666666
Chhattisgarh,IT Services,110,28,46,28.17,0.78,56.83,69.45,17.2,47.82666666666667
Telangana,Logistics,46,8,27,83.71,0.85,19.86,96.62,26.85,47.77666666666666
Telangana,Transportation & Storage,67,13,27,44.12,0.81,37.54,85.21,20.42,47.72333333333332
Punjab,Construction,83,22,36,27.92,0.86,45.42,69.21,28.46,47.69666666666666
Maharashtra,Social Network,70,21,30,19.52,1.02,39.55,51.05,52.41,47.669999999999995
Haryana,Transportation & Storage,87,28,31,5.22,1.18,46.78,23.31,72.83,47.64
Delhi,Advertising,103,47,28,-22.82,1.37,54.02,2.41,86.33,47.586666666666666
Rajasthan,Art & Photography,36,11,14,12.82,2.21,9.57,34.65,98.39,47.53666666666666
Uttarakhand,Retail,35,13,17,14.35,1.76,8.04,39.15,95.34,47.51
Karnataka,Pets & Animals,55,20,21,2.47,1.73,28.86,18.41,94.86,47.376666666666665
Gujarat,Security Solutions,85,20,44,48.32,0.7,45.82,87.3,8.68,47.266666666666666
Karnataka,AR VR (Augmented + Virtual Reality),42,13,18,17.67,1.27,15.43,46.46,79.9,47.263333333333335
Gujarat,Design,72,28,30,3.51,1.25,40.59,21.3,78.46,46.78333333333333
Telangana,Travel & Tourism,81,18,42,52.75,0.65,44.69,89.95,5.63,46.75666666666666
Uttar Pradesh,Green Technology,164,47,70,22.04,0.74,68.81,57.4,13.18,46.46333333333333
Telangana,Professional & Commercial Services,238,65,91,18.32,0.72,79.18,48.55,11.41,46.38
Telangana,Human Resources,114,29,47,27.31,0.72,58.36,68.81,11.9,46.35666666666667
West Bengal,Media & Entertainment,49,13,23,33.01,0.94,22.19,76.13,40.19,46.17
Bihar,Finance Technology,64,13,29,49.36,0.76,35.45,88.02,14.79,46.086666666666666
West Bengal,Renewable Energy,104,31,47,23.13,0.84,54.66,59.32,23.95,45.97666666666667
Himachal Pradesh,Healthcare & Lifesciences,55,18,22,10.55,1.24,28.86,31.35,77.65,45.95333333333333
Telangana,Finance Technology,155,43,60,18.12,0.82,67.12,47.91,22.83,45.95333333333333
Karnataka,Other Specialty Retailers,118,33,46,18.07,0.88,59.16,47.43,30.87,45.82
Telangana,Internet of Things,47,15,22,21.11,1.09,20.9,55.63,60.77,45.766666666666666
Odisha,Textiles & Apparel,45,13,20,24.03,1.06,18.89,61.74,56.59,45.739999999999995
Goa,IT Services,38,8,22,65.83,0.87,11.82,94.61,30.55,45.66
Karnataka,Analytics,69,27,20,-13.93,1.64,38.83,4.82,93.25,45.63333333333333
Delhi,Transportation & Storage,129,44,45,1.13,1.07,61.74,17.2,57.88,45.60666666666667
Kerala,Media & Entertainment,66,24,28,8.01,1.18,36.82,27.73,71.86,45.47
Karnataka,Security Solutions,102,29,41,18.9,0.88,53.46,49.84,32.96,45.42
Punjab,Fashion,34,9,14,24.72,1.13,6.43,63.99,65.76,45.39333333333333
Karnataka,House-Hold Services,61,11,28,59.54,0.71,32.72,92.6,10.45,45.25666666666666
Gujarat,House-Hold Services,106,42,38,-4.88,1.16,55.39,9.16,71.06,45.20333333333333
Telangana,Events,34,8,15,36.93,1.0,6.43,80.71,48.23,45.12333333333333
Telangana,Analytics,36,13,17,14.35,1.36,9.57,39.15,86.01,44.91
Kerala,Fashion,65,16,34,45.77,0.73,36.09,86.01,12.54,44.88
Tamil Nadu,Transportation & Storage,124,49,32,-19.19,1.16,60.61,3.22,70.74,44.85666666666667
Bihar,Healthcare & Lifesciences,220,73,95,14.08,0.8,76.69,37.94,19.94,44.85666666666666
Tamil Nadu,Professional & Commercial Services,364,118,125,2.92,0.85,88.75,19.45,26.37,44.85666666666666
Andhra Pradesh,Transportation & Storage,31,8,16,41.42,1.0,2.33,83.68,48.55,44.85333333333333
Delhi,Design,49,14,22,25.36,0.99,22.19,65.76,46.46,44.803333333333335
Uttar Pradesh,Marketing,170,56,66,8.56,0.9,70.42,28.94,35.05,44.80333333333333
Uttar Pradesh,Logistics,68,16,34,45.77,0.71,38.02,86.01,10.29,44.77333333333333
Delhi,Aeronautics Aerospace & Defence,113,40,48,9.54,0.98,58.04,30.06,45.66,44.58666666666666
Gujarat,Safety,42,12,14,8.01,1.5,15.43,27.73,90.51,44.556666666666665
Andhra Pradesh,Human Resources,53,16,27,29.9,0.89,27.01,72.19,34.41,44.53666666666666
Odisha,Professional & Commercial Services,87,25,36,20.0,0.89,46.78,52.89,33.76,44.47666666666666
Andhra Pradesh,Finance Technology,55,12,26,47.2,0.78,28.86,86.9,17.52,44.42666666666666
Maharashtra,Aeronautics Aerospace & Defence,191,61,79,13.8,0.83,73.15,36.82,23.15,44.373333333333335
Haryana,Construction,332,103,117,6.58,0.81,86.01,25.4,21.7,44.370000000000005
Uttar Pradesh,Enterprise Software,139,44,62,18.71,0.79,63.5,49.68,19.13,44.103333333333325
Chhattisgarh,Education,78,24,24,0.0,1.18,43.81,15.76,72.51,44.02666666666667
Karnataka,Automotive,217,77,77,0.0,0.94,76.37,15.76,39.87,44.0
Telangana,Chemicals,64,16,29,34.63,0.79,35.45,78.3,18.17,43.97333333333333
Tamil Nadu,Other Specialty Retailers,89,22,34,24.32,0.82,47.91,62.14,21.86,43.97
Jammu and Kashmir,Food & Beverages,49,12,22,35.4,0.87,22.19,78.94,30.71,43.946666666666665
Delhi,Construction,462,153,186,10.26,0.69,92.28,30.87,8.52,43.89
Delhi,Waste Management,118,37,41,5.27,1.0,59.16,23.63,48.87,43.88666666666666
Uttar Pradesh,Events,63,17,23,16.32,1.04,34.41,42.6,54.34,43.78333333333333
Gujarat,Biotechnology,53,13,25,38.68,0.82,27.01,82.23,22.03,43.75666666666667
Kerala,Marketing,78,29,28,-1.74,1.19,43.81,13.67,73.31,43.596666666666664
Rajasthan,Professional & Commercial Services,224,81,66,-9.73,0.99,77.65,5.95,46.95,43.516666666666666
Uttarakhand,Agriculture,66,22,27,10.78,1.1,36.82,31.67,61.9,43.46333333333333
Telangana,Textiles & Apparel,76,18,39,47.2,0.52,42.68,86.9,0.8,43.46
Madhya Pradesh,Finance Technology,104,30,40,15.47,0.89,54.66,41.08,33.92,43.22
Chandigarh,Healthcare & Lifesciences,57,24,17,-15.84,1.76,30.14,4.18,95.18,43.166666666666664
Maharashtra,Non-Renewable Energy,129,58,33,-24.57,1.12,61.74,2.09,65.59,43.14
Jharkhand,Renewable Energy,43,13,17,14.35,1.19,16.8,39.15,73.15,43.03333333333333
Kerala,Renewable Energy,92,24,40,29.1,0.69,49.68,70.74,8.36,42.92666666666667
Madhya Pradesh,Retail,86,33,40,10.1,1.02,46.22,30.55,51.29,42.68666666666667
Haryana,Human Resources,144,55,51,-3.7,1.02,64.79,10.93,52.25,42.656666666666666
Telangana,Automotive,111,37,54,20.81,0.76,57.15,54.82,15.43,42.46666666666666
Punjab,Education,79,28,29,1.77,1.12,44.29,17.52,65.43,42.413333333333334
Telangana,Design,30,6,16,63.3,0.88,0.88,93.73,32.48,42.36333333333333
Bihar,Textiles & Apparel,47,9,24,63.3,0.72,20.9,93.73,12.06,42.230000000000004
Uttar Pradesh,Art & Photography,57,18,17,-2.82,1.34,30.14,12.46,84.08,42.22666666666666
Telangana,Sports,33,7,13,36.28,0.95,4.82,80.14,41.48,42.14666666666666
Assam,Education,64,21,27,13.39,1.04,35.45,35.77,54.98,42.06666666666666
Delhi,Automotive,204,80,68,-7.8,0.96,75.0,7.23,43.89,42.04
Rajasthan,Real Estate,46,11,25,50.76,0.77,19.86,88.91,16.88,41.883333333333326
Uttar Pradesh,Biotechnology,52,12,25,44.34,0.76,25.56,85.37,14.63,41.85333333333333
Delhi,Pets & Animals,30,9,15,29.1,1.03,0.88,70.74,53.7,41.773333333333326
Odisha,Food & Beverages,124,50,46,-4.08,1.04,60.61,10.21,54.18,41.666666666666664
Tamil Nadu,Media & Entertainment,99,28,39,18.02,0.85,52.17,47.03,25.56,41.58666666666666
Madhya Pradesh,Social Impact,34,11,15,16.77,1.2,6.43,44.05,74.28,41.58666666666666
Bihar,Retail,53,15,24,26.49,0.87,27.01,67.93,29.58,41.50666666666667
Telangana,Green Technology,118,42,47,5.79,0.94,59.16,24.12,41.0,41.42666666666666
Uttar Pradesh,Chemicals,112,32,45,18.59,0.78,57.56,49.52,17.04,41.373333333333335
Uttar Pradesh,Aeronautics Aerospace & Defence,130,40,45,6.07,0.92,62.14,24.52,37.3,41.31999999999999
Tamil Nadu,Design,50,13,16,10.94,1.14,23.55,31.91,68.33,41.26333333333333
Kerala,Internet of Things,39,14,15,3.51,1.46,12.86,21.3,89.39,41.18333333333334
West Bengal,Marketing,61,20,27,16.19,1.0,32.72,42.44,48.39,41.18333333333333
Assam,IT Services,75,18,33,35.4,0.57,42.12,78.94,2.41,41.156666666666666
Jammu and Kashmir,Education,50,19,25,14.71,1.08,23.55,40.11,59.49,41.05
Odisha,Construction,140,58,46,-10.94,1.04,63.75,5.47,53.86,41.02666666666667
Karnataka,Telecommunication & Networking,66,19,29,23.54,0.84,36.82,60.61,25.24,40.89
Karnataka,Renewable Energy,213,62,83,15.7,0.62,76.05,41.8,4.66,40.836666666666666
Karnataka,Fashion,201,68,70,1.46,0.88,73.95,17.36,31.19,40.83333333333333
Karnataka,Agriculture,464,163,173,3.02,0.7,92.44,19.77,9.65,40.620000000000005
Haryana,Telecommunication & Networking,50,16,19,8.97,1.15,23.55,29.18,69.13,40.62
Punjab,Renewable Energy,53,20,22,4.88,1.17,27.01,23.15,71.54,40.56666666666666
Kerala,Textiles & Apparel,50,9,28,76.38,0.56,23.55,95.66,1.61,40.27333333333333
Bihar,Professional & Commercial Services,128,36,44,10.55,0.86,61.25,31.35,28.14,40.24666666666666
Punjab,Automotive,45,15,14,-3.39,1.48,18.89,11.74,89.71,40.11333333333333
Uttarakhand,Professional & Commercial Services,43,11,18,27.92,0.89,16.8,69.21,34.24,40.08333333333333
Rajasthan,Non-Renewable Energy,50,31,5,-59.84,1.85,23.55,0.64,95.98,40.056666666666665
Uttar Pradesh,Transportation & Storage,94,25,39,24.9,0.63,50.4,64.95,4.82,40.056666666666665
Uttar Pradesh,AR VR (Augmented + Virtual Reality),35,9,15,29.1,0.95,8.04,70.74,41.32,40.03333333333333
Kerala,Logistics,30,6,12,41.42,0.9,0.88,83.68,35.37,39.97666666666667
Maharashtra,Pets & Animals,63,23,26,6.32,1.09,34.41,24.84,60.61,39.95333333333333
Haryana,Agriculture,239,74,94,12.71,0.65,79.5,34.41,5.79,39.9
Uttar Pradesh,Robotics,41,9,20,49.07,0.78,14.47,87.54,17.68,39.89666666666666
Tamil Nadu,AR VR (Augmented + Virtual Reality),46,18,13,-15.02,1.73,19.86,4.5,94.53,39.629999999999995
Assam,Professional & Commercial Services,58,19,26,16.98,0.95,31.11,44.37,42.77,39.416666666666664
Telangana,Social Network,34,11,12,4.45,1.44,6.43,22.75,88.59,39.25666666666667
Assam,Food & Beverages,75,28,32,6.9,1.01,42.12,25.8,49.84,39.25333333333333
Kerala,Transportation & Storage,36,5,23,114.48,0.7,9.57,98.55,9.16,39.09333333333333
Kerala,Architecture Interior Design,41,15,16,3.28,1.31,14.47,20.5,82.15,39.04
Gujarat,Architecture Interior Design,86,30,32,3.28,1.01,46.22,20.5,50.32,39.013333333333335
West Bengal,Chemicals,51,15,18,9.54,1.1,24.6,30.06,61.74,38.8
Gujarat,Analytics,38,9,16,33.33,0.86,11.82,77.09,27.33,38.74666666666667
Delhi,Agriculture,244,76,98,13.55,0.4,80.06,36.01,0.16,38.74333333333333
Jharkhand,Professional & Commercial Services,62,19,20,2.6,1.11,33.44,18.81,63.83,38.69333333333333
Bihar,Automotive,44,10,24,54.92,0.67,18.01,90.68,7.23,38.64
Telangana,Advertising,47,14,21,22.47,0.91,20.9,58.6,36.33,38.61
Tamil Nadu,Construction,429,156,146,-3.26,0.73,91.64,11.9,12.22,38.586666666666666
Jharkhand,Food & Beverages,64,19,25,14.71,0.94,35.45,40.11,39.71,38.42333333333333
Rajasthan,Media & Entertainment,53,15,23,23.83,0.86,27.01,61.09,27.17,38.42333333333333
West Bengal,Green Technology,76,28,28,0.0,1.06,42.68,15.76,56.75,38.39666666666666
Delhi,Renewable Energy,234,78,84,3.77,0.74,78.78,22.27,13.99,38.346666666666664
West Bengal,House-Hold Services,38,13,15,7.42,1.22,11.82,26.29,76.69,38.266666666666666
Gujarat,Retail,178,57,66,7.61,0.77,71.14,26.85,16.72,38.23666666666666
Chhattisgarh,Healthcare & Lifesciences,101,30,39,14.02,0.83,52.97,37.46,23.47,37.96666666666666
Andhra Pradesh,Retail,35,6,21,87.08,0.69,8.04,97.11,7.88,37.67666666666666
Delhi,Safety,33,13,14,3.77,1.36,4.82,22.27,85.53,37.54
Tamil Nadu,Marketing,132,45,35,-11.81,0.97,62.62,5.14,44.37,37.376666666666665
Uttarakhand,IT Services,85,27,37,17.06,0.81,45.82,44.53,21.38,37.24333333333333
Maharashtra,Telecommunication & Networking,140,65,36,-25.58,0.98,63.75,1.93,45.98,37.22
Karnataka,Design,63,19,16,-8.23,1.16,34.41,6.91,70.26,37.193333333333335
Kerala,Construction,210,68,73,3.61,0.74,75.64,21.7,13.83,37.056666666666665
Andhra Pradesh,Green Technology,37,10,19,37.84,0.79,10.61,81.35,18.97,36.97666666666666
Uttar Pradesh,Design,48,12,20,29.1,0.79,21.54,70.74,18.01,36.763333333333335
Telangana,Marketing,99,35,37,2.82,0.93,52.17,18.97,39.07,36.736666666666665
Madhya Pradesh,Textiles & Apparel,78,24,31,13.65,0.87,43.81,36.25,30.06,36.70666666666666
Tamil Nadu,House-Hold Services,46,11,22,41.42,0.66,19.86,83.68,6.11,36.550000000000004
Punjab,Travel & Tourism,39,17,14,-9.25,1.49,12.86,6.11,90.35,36.44
Rajasthan,Green Technology,82,32,34,3.08,0.96,45.02,20.02,43.57,36.20333333333333
West Bengal,Security Solutions,38,12,18,22.47,0.91,11.82,58.6,36.82,35.74666666666667
Gujarat,Education,298,98,105,3.51,0.53,84.57,21.3,0.96,35.61
Haryana,Enterprise Software,87,28,26,-3.64,1.0,46.78,11.25,48.71,35.58
Telangana,House-Hold Services,50,16,22,17.26,0.92,23.55,45.1,37.94,35.53
West Bengal,Real Estate,56,18,17,-2.82,1.12,29.5,12.46,64.63,35.529999999999994
Odisha,Finance Technology,33,5,18,89.74,0.6,4.82,97.27,4.02,35.370000000000005
Madhya Pradesh,Advertising,35,7,9,13.39,1.09,8.04,35.77,61.41,35.07333333333333
Telangana,Waste Management,64,19,27,19.21,0.79,35.45,50.56,18.81,34.94
Delhi,Internet of Things,50,13,20,24.03,0.8,23.55,61.74,19.45,34.913333333333334
Tamil Nadu,Travel & Tourism,113,34,44,13.76,0.71,58.04,36.58,9.97,34.86333333333333
Odisha,Retail,33,9,16,33.33,0.82,4.82,77.09,22.67,34.86
Kerala,Technology Hardware,126,51,44,-7.12,0.9,60.93,7.56,35.85,34.78
Punjab,AI,37,10,17,30.38,0.81,10.61,72.67,21.06,34.78
Jammu and Kashmir,Professional & Commercial Services,45,13,17,14.35,0.98,18.89,39.15,46.14,34.72666666666666
Kerala,Waste Management,52,17,19,5.72,1.04,25.56,23.95,54.66,34.72333333333333
Odisha,Education,92,36,36,0.0,0.93,49.68,15.76,38.59,34.67666666666666
Bihar,Fashion,47,12,20,29.1,0.73,20.9,70.74,12.38,34.67333333333333
Karnataka,Chemicals,57,14,24,30.93,0.44,30.14,73.39,0.32,34.61666666666667
Jharkhand,Education,51,14,19,16.5,0.9,24.6,43.41,35.69,34.56666666666666
Karnataka,Media & Entertainment,110,35,42,9.54,0.76,56.83,30.06,15.27,34.05333333333333
West Bengal,Waste Management,33,7,15,46.39,0.71,4.82,86.41,10.61,33.946666666666665
Jammu and Kashmir,Healthcare & Lifesciences,49,13,23,33.01,0.58,22.19,76.13,2.89,33.736666666666665
Kerala,Agriculture,155,52,62,9.19,0.6,67.12,29.58,4.18,33.626666666666665
Himachal Pradesh,IT Services,30,5,17,84.39,0.58,0.88,96.78,2.73,33.46333333333333
Gujarat,Events,32,5,14,67.33,0.56,3.38,94.86,1.77,33.336666666666666
Rajasthan,Human Resources,69,19,28,21.4,0.64,38.83,56.03,4.98,33.28
Karnataka,Advertising,72,24,28,8.01,0.88,40.59,27.73,31.51,33.27666666666667
Uttar Pradesh,Automotive,198,68,63,-3.75,0.76,73.47,10.77,15.11,33.11666666666667
Odisha,Technology Hardware,50,15,23,23.83,0.75,23.55,61.09,14.47,33.03666666666666
Uttar Pradesh,Internet of Things,47,14,24,30.93,0.61,20.9,73.39,4.5,32.92999999999999
Gujarat,Marketing,150,55,49,-5.61,0.84,65.76,8.52,24.44,32.906666666666666
Karnataka,Waste Management,98,31,37,9.25,0.76,51.61,29.74,15.59,32.31333333333333
Gujarat,Art & Photography,37,10,14,18.32,0.92,10.61,48.55,37.62,32.25999999999999
Kerala,Professional & Commercial Services,153,57,57,0.0,0.74,66.16,15.76,14.15,32.02333333333333
Uttar Pradesh,Safety,35,13,13,0.0,1.18,8.04,15.76,72.19,31.996666666666666
Karnataka,Transportation & Storage,101,32,37,7.53,0.76,52.97,26.61,16.08,31.886666666666663
Haryana,Media & Entertainment,77,30,27,-5.13,0.96,43.17,8.84,43.25,31.75333333333333
Rajasthan,Chemicals,52,16,19,8.97,0.94,25.56,29.18,40.51,31.75
Gujarat,Indic Language Startups,44,20,11,-25.84,1.2,18.01,1.77,74.6,31.459999999999997
Bihar,Travel & Tourism,41,12,19,25.83,0.73,14.47,66.48,12.86,31.27
Uttar Pradesh,Social Network,44,16,17,3.08,1.05,18.01,20.02,55.63,31.22
Tamil Nadu,Fashion,131,44,47,3.35,0.71,62.38,20.9,10.13,31.136666666666663
Kerala,Automotive,73,23,28,10.34,0.81,41.32,31.03,20.9,31.083333333333332
Maharashtra,Art & Photography,60,18,22,10.55,0.87,32.15,31.35,29.74,31.08
Maharashtra,Indic Language Startups,62,20,19,-2.53,0.98,33.44,13.26,46.3,30.999999999999996
Kerala,Finance Technology,85,28,35,11.8,0.73,45.82,33.12,12.7,30.546666666666667
West Bengal,Enterprise Software,43,12,18,22.47,0.76,16.8,58.6,15.92,30.439999999999998
Madhya Pradesh,Education,158,66,57,-7.07,0.76,68.09,7.8,14.95,30.28
Delhi,Chemicals,90,33,38,7.31,0.76,48.63,26.05,15.76,30.14666666666667
Odisha,Human Resources,47,17,18,2.9,1.01,20.9,19.21,49.68,29.93
Punjab,Retail,30,8,10,11.8,1.05,0.88,33.12,55.79,29.929999999999996
Madhya Pradesh,Media & Entertainment,54,22,23,2.25,0.96,28.05,17.85,43.73,29.876666666666665
Tamil Nadu,Indic Language Startups,35,15,9,-22.54,1.26,8.04,2.57,78.78,29.796666666666663
Haryana,Internet of Things,34,10,14,18.32,0.89,6.43,48.55,33.44,29.47333333333333
Karnataka,Others,30,29,1,-81.43,1.37,0.88,0.48,86.17,29.176666666666666
Haryana,Social Impact,35,12,17,19.02,0.86,8.04,50.08,28.94,29.019999999999996
Delhi,Social Network,38,14,13,-3.64,1.11,11.82,11.25,63.18,28.75
Andhra Pradesh,Travel & Tourism,31,9,16,33.33,0.67,2.33,77.09,6.75,28.723333333333333
Kerala,Green Technology,66,22,24,4.45,0.85,36.82,22.75,26.53,28.7
Rajasthan,Advertising,30,8,12,22.47,0.85,0.88,58.6,25.72,28.4
Andhra Pradesh,Professional & Commercial Services,101,38,35,-4.03,0.81,52.97,10.45,21.54,28.32
Madhya Pradesh,House-Hold Services,32,10,13,14.02,0.96,3.38,37.46,42.93,27.923333333333332
Delhi,Analytics,34,11,15,16.77,0.88,6.43,44.05,32.8,27.759999999999998
Gujarat,Media & Entertainment,89,30,37,11.06,0.58,47.91,32.32,3.05,27.759999999999998
Karnataka,Art & Photography,35,10,13,14.02,0.92,8.04,37.46,37.78,27.759999999999998
Jharkhand,Technology Hardware,31,8,12,22.47,0.82,2.33,58.6,22.35,27.759999999999998
Telangana,Telecommunication & Networking,42,12,16,15.47,0.85,15.43,41.08,26.69,27.733333333333334
Madhya Pradesh,Aeronautics Aerospace & Defence,35,9,14,24.72,0.71,8.04,63.99,10.77,27.599999999999998
Chhattisgarh,Technology Hardware,45,14,13,-3.64,1.01,18.89,11.25,51.13,27.09
Odisha,Marketing,35,15,13,-6.91,1.12,8.04,8.04,64.95,27.009999999999998
Madhya Pradesh,Chemicals,42,12,16,15.47,0.84,15.43,41.08,24.28,26.93
Gujarat,Social Impact,43,13,20,24.03,0.56,16.8,61.74,1.93,26.823333333333334
Tamil Nadu,Non-Renewable Energy,52,25,9,-40.0,1.03,25.56,0.96,52.57,26.363333333333333
Delhi,Biotechnology,33,9,15,29.1,0.59,4.82,70.74,3.38,26.31333333333333
Uttar Pradesh,Sports,58,22,19,-7.07,0.93,31.11,7.8,38.75,25.886666666666663
Uttar Pradesh,Others,30,30,0,-100.0,1.22,0.88,0.24,76.37,25.830000000000002
Delhi,Toys and Games,43,20,9,-32.92,1.07,16.8,1.13,59.0,25.64333333333333
Tamil Nadu,Telecommunication & Networking,57,24,22,-4.26,0.9,30.14,9.97,36.01,25.373333333333335
Haryana,Chemicals,62,23,22,-2.2,0.86,33.44,13.5,29.1,25.346666666666664
Madhya Pradesh,Other Specialty Retailers,46,18,20,5.41,0.88,19.86,23.79,31.35,25.0
Chhattisgarh,Finance Technology,37,13,13,0.0,1.0,10.61,15.76,47.91,24.759999999999998
Karnataka,Logistics,72,30,27,-5.13,0.84,40.59,8.84,24.76,24.73
Tamil Nadu,Chemicals,87,35,23,-18.94,0.84,46.78,3.38,23.79,24.65
Bihar,Media & Entertainment,37,13,15,7.42,0.91,10.61,26.29,36.5,24.46666666666666
Delhi,Enterprise Software,95,31,31,0.0,0.67,50.72,15.76,6.59,24.356666666666666
Tamil Nadu,Human Resources,117,44,41,-3.47,0.57,58.76,11.58,2.57,24.30333333333333
Madhya Pradesh,Fashion,69,22,22,0.0,0.77,38.83,15.76,16.56,23.716666666666665
Andhra Pradesh,Automotive,51,18,15,-8.71,0.94,24.6,6.51,40.03,23.71333333333333
Rajasthan,Technology Hardware,105,40,35,-6.46,0.68,55.06,8.2,7.72,23.66
Rajasthan,Aeronautics Aerospace & Defence,32,9,14,24.72,0.59,3.38,63.99,3.54,23.636666666666663
West Bengal,Aeronautics Aerospace & Defence,30,9,14,24.72,0.66,0.88,63.99,5.95,23.606666666666666
Madhya Pradesh,Automotive,75,35,26,-13.81,0.83,42.12,4.98,23.31,23.47
Punjab,Technology Hardware,42,15,16,3.28,0.89,15.43,20.5,33.6,23.176666666666666
Tamil Nadu,Advertising,43,13,18,17.67,0.65,16.8,46.46,5.47,22.91
Kerala,Aeronautics Aerospace & Defence,43,15,16,3.28,0.88,16.8,20.5,31.03,22.776666666666667
Odisha,Green Technology,32,11,14,12.82,0.87,3.38,34.65,30.23,22.75333333333333
Bihar,Marketing,41,15,17,6.46,0.86,14.47,25.16,28.3,22.643333333333334
West Bengal,Logistics,31,12,12,0.0,1.0,2.33,15.76,49.36,22.483333333333334
Madhya Pradesh,Enterprise Software,52,19,18,-2.67,0.86,25.56,12.86,27.65,22.02333333333333
