state,industry,lq,count
Tamil Nadu,Travel & Tourism,0.7066680317047501,113
Rajasthan,Automotive,0.7039922085042799,70
Karnataka,Agriculture,0.7036118200200628,464
Gujarat,Real Estate,0.7029540464081562,103
Gujarat,Telecommunication & Networking,0.7012122189780456,58
Kerala,Transportation & Storage,0.7008469260754057,36
Uttar Pradesh,Analytics,0.7005999957741733,33
Bihar,IT Services,0.6977135674955139,225
Gujarat,Security Solutions,0.6964028855525023,85
Delhi,Construction,0.6891802273814147,462
Kerala,Renewable Energy,0.6887211911589959,92
Gujarat,Aeronautics Aerospace & Defence,0.6882804888213845,92
Jharkhand,Healthcare & Lifesciences,0.687444750179964,71
Andhra Pradesh,Retail,0.6856240144653032,35
Rajasthan,Technology Hardware,0.6820926026251634,105
Karnataka,Textiles & Apparel,0.6763880624261669,156
Telangana,Security Solutions,0.6755453958561822,49
Bihar,Automotive,0.6743556738011284,44
Tamil Nadu,Real Estate,0.6714433633997703,75
Gujarat,Robotics,0.6677831530314524,33
Andhra Pradesh,Travel & Tourism,0.6661602141853576,31
Delhi,Enterprise Software,0.6652916869038952,95
West Bengal,AI,0.664842232558768,83
Maharashtra,AR VR (Augmented + Virtual Reality),0.6641072877884132,40
Tamil Nadu,House-Hold Services,0.6626417243684815,46
West Bengal,Aeronautics Aerospace & Defence,0.657257606288475,30
Haryana,Agriculture,0.6501436201435109,239
Telangana,Travel & Tourism,0.6498010831997141,81
Tamil Nadu,Advertising,0.6488247635642725,43
Gujarat,Sports,0.647084388236558,38
Telangana,Construction,0.6410531683005178,295
Rajasthan,Human Resources,0.6363771784348563,69
Uttar Pradesh,Transportation & Storage,0.6341696931445596,94
Karnataka,Renewable Energy,0.6200738848674502,213
Uttar Pradesh,Internet of Things,0.611101351132026,47
Karnataka,Social Impact,0.6051551742097915,44
Kerala,Agriculture,0.6044197199700578,155
Odisha,Finance Technology,0.5952605174261478,33
Karnataka,Construction,0.5945716053468794,435
Kerala,Other Specialty Retailers,0.5913314113062813,31
Kerala,Human Resources,0.5907218266001221,58
Rajasthan,Aeronautics Aerospace & Defence,0.5900510226298613,32
Delhi,Biotechnology,0.588538035446351,33
Gujarat,Human Resources,0.5874936819363266,157
Gujarat,Media & Entertainment,0.5826069898583186,89
Jammu and Kashmir,Healthcare & Lifesciences,0.5783912464449659,49
Himachal Pradesh,IT Services,0.5774246983453311,30
Tamil Nadu,Human Resources,0.5743119083740973,117
Assam,IT Services,0.5699499449686926,75
Gujarat,Advertising,0.5636332820505956,49
Tamil Nadu,Security Solutions,0.5588604698888403,52
Gujarat,Social Impact,0.5587568171949489,43
Gujarat,Events,0.5586044546956164,32
Kerala,Textiles & Apparel,0.5574849161927116,50
Gujarat,AI,0.5552643739256597,203
West Bengal,Human Resources,0.5479113378574779,50
Delhi,Non-Renewable Energy,0.5385088281829068,31
Gujarat,Education,0.5267293722284087,298
Telangana,Textiles & Apparel,0.5238923478068351,76
Bihar,Technology Hardware,0.5147826615520547,52
Karnataka,Non-Renewable Energy,0.4934201738555632,31
Karnataka,Chemicals,0.44276670348633806,57
Delhi,Agriculture,0.40381355945215425,244
Bihar,AI,0.3801316061969639,37
